country;Adolescent_mean;Adolescent_95;Adolescent_weight;Adult_mean;Adult_p95;Adult_weight;Elderly_mean;Elderly_p95;Elderly_weight;Children_m;Children_p95;Children_weight
AT;240.3143727;397.1078667;45.34470004;248.3208197;474.8;68.90554156;244.8531343;503.105;76.69964867;;;
BE;259.8037326;486.575;60.35456123;235.593784;464.535;68.9737356;198.9307241;419;72.21132938;;;
BG;;;;;;;;;;;;
HR;;;;212.741805;415.7442552;74.76555874;;;;;;
CY;161.5750552;279.95;49.84019909;;;;;;;;;
CZ;275.9610474;519.6773012;44.95221264;277.7366877;540.347;74.92623937;;;;;;
DK;208.6837096;341.3270379;49.45111601;212.9397963;357.3115961;73.22125806;195.7179243;342.1313927;73.0914452;;;
EE;176.2729029;341.81315;44.43839863;154.0819457;315.032;74.68482113;154.2890067;292.74335;76.64661886;;;
FI;134.1368461;212.0994227;53.22890717;215.3210893;421.9487281;74.76966835;236.4551954;467.7209384;76.39591292;;;
FR;238.8364809;418.9386131;48.5744658;230.9555085;437.8781936;69.04386872;211.287184;419.0554281;70.99885989;;;
DE;234.9720956;424.2744274;47.4122729;230.3162666;444.53;74.75941192;234.6006319;431.95;76.79058783;;;
GR;;;;;;;;;;;;
HU;;;;240.1686872;397.775;71.06208922;232.0140615;366.0733333;73.25284322;;;
IE;;;;239.0092435;443.9828099;74.95437866;272.9913299;482.449655;74.7829072;;;
IT;278.074143;468.774;50.45821398;251.3816559;424.6613333;68.28166152;242.6001494;398.379;70.49754414;226.2177202;377.2373333;24.29949953
LV;189.820381;395.05;49.08015161;198.4874158;422.3025001;75.89924413;165.9496802;325.8000001;79.59766236;;;
NL;226.8424418;389.1313195;51.60594846;227.583866;404.5438554;74.8219555;203.7828419;342.4976847;76.85717641;;;
PT;227.2591013;416.6083739;49.78749327;190.488903;376.8470214;71.11603281;174.0582319;344.554278;74.00144549;;;
RO;;;;177.0240764;352.0205571;72.63084055;200.9589928;407.1016622;72.05256065;;;
ES;236.4427559;439.9260625;52.23614136;171.4975669;328.2168611;69.00811237;134.5342939;250.09075;72.08645857;;;
SE;179.945154;312.55;40.61719104;206.2617989;384.6128214;72.6794332;175.9511215;315.4505;73.71920651;;;
GB;197.8251028;367.26;51.65776152;210.4541479;397.2992024;74.58928746;192.8463838;367.7975;77.38900719;169.375121;274.71725;22.85712817
